时间(s)	Roll(°)	Pitch(°)	Yaw(°)	Servo1	Servo2	Servo3	Servo4
================================================================================
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
0	0.18	0.18	-65.50	0	0	0	0
1	0.18	0.18	-65.50	0	0	0	0
1	0.18	0.18	-65.50	0	0	0	0
1	0.18	0.18	-65.50	0	0	0	0
1	0.18	0.18	-65.50	0	0	0	0
1	0.18	0.18	-65.50	0	0	0	0
1	0.18	0.18	-65.50	0	0	0	0
1	0.18	0.18	-65.50	0	0	0	0
1	0.17	0.19	-65.51	1100	1100	1100	1100
1	0.17	0.19	-65.51	1100	1100	1100	1100
1	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
2	0.17	0.19	-65.51	1100	1100	1100	1100
3	0.17	0.19	-65.51	1100	1100	1100	1100
3	0.17	0.19	-65.51	1100	1100	1100	1100
3	0.17	0.19	-65.51	1100	1100	1100	1100
3	0.17	0.19	-65.51	1100	1100	1100	1100
3	0.17	0.19	-65.51	1100	1100	1100	1100
3	0.18	0.18	-65.53	1100	1100	1100	1100
3	0.18	0.18	-65.53	1100	1100	1100	1100
3	0.18	0.18	-65.53	1100	1100	1100	1100
3	0.18	0.18	-65.53	1100	1100	1100	1100
3	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
4	0.18	0.18	-65.53	1100	1100	1100	1100
5	0.18	0.18	-65.53	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
5	0.19	0.18	-65.54	1100	1100	1100	1100
6	0.19	0.18	-65.54	1100	1100	1100	1100
6	0.19	0.18	-65.54	1100	1100	1100	1100
6	0.19	0.18	-65.54	1100	1100	1100	1100
6	0.19	0.18	-65.54	1100	1100	1100	1100
6	0.19	0.18	-65.54	1100	1100	1100	1100
6	0.18	0.17	-65.56	1100	1100	1100	1100
6	0.18	0.17	-65.56	1100	1100	1100	1100
6	0.18	0.17	-65.56	1100	1100	1100	1100
6	0.18	0.17	-65.56	1100	1100	1100	1100
6	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
7	0.18	0.17	-65.56	1100	1100	1100	1100
8	0.18	0.17	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
8	0.19	0.18	-65.56	1100	1100	1100	1100
9	0.19	0.18	-65.56	1100	1100	1100	1100
9	0.19	0.18	-65.56	1100	1100	1100	1100
9	0.19	0.18	-65.56	1100	1100	1100	1100
9	0.19	0.18	-65.56	1100	1100	1100	1100
9	0.19	0.18	-65.56	1100	1100	1100	1100
9	0.18	0.18	-65.57	1100	1100	1100	1100
9	0.18	0.18	-65.57	1100	1100	1100	1100
9	0.18	0.18	-65.57	1100	1100	1100	1100
9	0.18	0.18	-65.57	1100	1100	1100	1100
9	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
10	0.18	0.18	-65.57	1100	1100	1100	1100
11	0.18	0.18	-65.59	1100	1100	1100	1100
11	0.18	0.18	-65.59	1100	1100	1100	1100
11	0.18	0.18	-65.59	1100	1100	1100	1100
11	0.18	0.18	-65.59	1100	1100	1100	1100
11	0.18	0.18	-65.59	1100	1100	1100	1100
11	0.18	0.18	-65.59	1100	1100	1100	1100
