时间(s)	Servo1	Servo2	Servo3	Servo4
============================================================
0	0	0	0	0
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
0	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
1	1100	1100	1100	1100
2	1100	1100	1100	1100
2	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
3	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
4	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
5	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
6	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
7	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
8	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
9	1100	1100	1100	1100
10	1100	1100	1100	1100
10	1100	1100	1100	1100
10	1100	1100	1100	1100
10	1176	1176	1176	1176
10	1176	1176	1176	1176
10	1176	1176	1176	1176
10	1176	1176	1176	1176
10	1176	1176	1176	1176
10	1176	1176	1176	1176
10	1176	1176	1176	1176
11	1176	1176	1176	1176
11	1176	1176	1176	1176
11	1206	1206	1206	1206
11	1206	1206	1206	1206
11	1206	1206	1206	1206
11	1206	1206	1206	1206
11	1206	1206	1206	1206
11	1206	1206	1206	1206
11	1206	1206	1206	1206
11	1206	1206	1206	1206
12	1206	1206	1206	1206
12	1206	1206	1206	1206
12	1206	1206	1206	1206
12	1226	1299	1326	1262
12	1226	1299	1326	1262
12	1226	1299	1326	1262
12	1226	1299	1326	1262
12	1226	1299	1326	1262
12	1226	1299	1326	1262
12	1226	1299	1326	1262
13	1226	1299	1326	1262
13	1226	1299	1326	1262
13	1184	1184	1184	1184
13	1184	1184	1184	1184
13	1184	1184	1184	1184
13	1184	1184	1184	1184
13	1184	1184	1184	1184
13	1184	1184	1184	1184
13	1184	1184	1184	1184
13	1184	1184	1184	1184
14	1184	1184	1184	1184
14	1184	1184	1184	1184
14	1554	1555	1623	1504
14	1554	1555	1623	1504
14	1554	1555	1623	1504
14	1554	1555	1623	1504
14	1554	1555	1623	1504
14	1554	1555	1623	1504
14	1554	1555	1623	1504
14	1554	1555	1623	1504
15	1554	1555	1623	1504
15	1554	1555	1623	1504
15	1226	1306	1320	1262
15	1226	1306	1320	1262
15	1226	1306	1320	1262
15	1226	1306	1320	1262
15	1226	1306	1320	1262
15	1226	1306	1320	1262
15	1226	1306	1320	1262
15	1226	1306	1320	1262
16	1226	1306	1320	1262
